index,time,loss
0,3.5393,2.6166
1,3.6306,2.5789
2,3.6808,2.3298
3,3.7257,2.3281
4,3.7708,2.3346
5,3.8144,2.3280
6,3.8651,2.3199
7,3.9087,2.3168
8,3.9556,2.3833
9,4.0004,2.3776
10,4.0440,2.3714
11,4.0871,2.4074
12,4.1308,2.3984
13,4.1742,2.3847
14,4.2179,2.3859
15,4.2750,2.3973
16,4.3183,2.3251
17,4.3613,2.4218
18,4.4049,2.3761
19,4.4477,2.2870
20,4.4914,2.2900
21,4.5342,2.3080
22,4.5784,2.3827
23,4.6212,2.2806
24,4.6644,2.3435
25,4.7072,2.2791
26,4.7516,2.3591
27,4.7948,2.2977
28,4.8373,2.3388
29,4.8799,2.3773
30,4.9245,2.3761
31,4.9669,2.2773
32,5.0106,2.4142
33,5.0532,2.3040
34,5.0969,2.2891
35,5.1410,2.3509
36,5.1843,2.2864
37,5.2267,2.3336
38,5.2708,2.2843
39,5.3134,2.2931
40,5.3562,2.3284
41,5.3990,2.2895
42,5.4419,2.3738
43,5.4846,2.2758
44,5.5280,2.2690
45,5.5718,2.4457
46,5.6152,2.2857
47,5.6580,2.2842
48,5.7008,2.2672
49,5.7434,2.3375
50,5.7865,2.3105
51,5.8290,2.2734
52,5.8718,2.2632
53,5.9145,2.3318
54,5.9582,2.2706
55,6.0013,2.2638
56,6.0447,2.3728
57,6.0964,2.2320
58,6.1396,2.4164
59,6.1894,2.2380
60,6.2320,2.2467
61,6.2826,2.2646
62,6.3253,2.2399
63,6.3756,2.2417
64,6.4183,2.2293
65,6.4660,2.2013
66,6.5086,2.2680
67,6.5590,2.2419
68,6.6023,2.1803
69,6.6454,2.2560
70,6.6883,2.1884
71,6.7320,2.2787
72,6.7818,2.2230
73,6.8259,2.2108
74,6.8699,2.3268
75,6.9137,2.3610
76,6.9577,2.2013
77,7.0010,2.2505
78,7.0442,2.2314
79,7.0981,2.1874
80,7.1425,2.2556
81,7.1851,2.2511
82,7.2288,2.1390
83,7.2723,2.1523
84,7.3167,2.1678
85,7.3603,2.1547
86,7.4038,2.1370
87,7.4473,2.0399
88,7.4915,2.2550
89,7.5352,2.2264
90,7.5788,2.0888
91,7.6225,2.0876
92,7.6661,2.1042
93,7.7097,2.1748
94,7.7533,2.1106
95,7.7966,2.0174
96,7.8412,2.1093
97,7.8850,2.1475
98,7.9288,2.1462
99,7.9731,2.0654
100,8.0165,2.1990
101,8.0708,2.1832
102,8.1134,2.2275
103,8.1566,2.1790
104,8.2002,2.1518
105,8.2436,2.0229
106,8.2859,2.0864
107,8.3282,2.0899
108,8.3714,2.1231
109,8.4138,2.1699
110,8.4572,2.2242
111,8.4996,2.1550
112,8.5421,2.2021
113,8.5846,2.2371
114,8.6264,2.1189
115,8.6692,2.1051
116,8.7118,2.0265
117,8.7545,2.0118
118,8.7969,2.0517
119,8.8396,2.0564
120,8.8822,2.0100
121,8.9246,2.1244
122,8.9667,2.0279
123,9.0247,2.0277
124,9.0680,2.0007
125,9.1102,2.1671
126,9.1593,2.1868
127,9.2010,2.1236
128,9.2430,2.0552
129,9.2849,2.0683
130,9.3269,2.0057
131,9.3697,2.1348
132,9.4117,2.1190
133,9.4542,2.0776
134,9.4955,2.0889
135,9.5387,2.0911
136,9.5815,1.9617
137,9.6240,2.0594
138,9.6657,1.9649
139,9.7077,2.0559
140,9.7490,2.0450
141,9.7915,2.0466
142,9.8335,2.1473
143,9.8751,2.1229
144,9.9175,2.0209
145,9.9695,2.0405
146,10.0109,2.0818
147,10.0529,1.9863
148,10.0953,2.1029
149,10.1385,2.0409
150,10.1811,1.9450
151,10.2232,2.0930
152,10.2655,1.9836
153,10.3093,2.1072
154,10.3515,2.0675
155,10.3934,2.0845
156,10.4353,2.0656
157,10.4783,2.1072
158,10.5199,2.0300
159,10.5615,2.0475
160,10.6035,2.0216
161,10.6464,2.0199
162,10.6888,1.9874
163,10.7309,1.9978
164,10.7738,1.9943
165,10.8166,1.9352
166,10.8582,2.0767
167,10.9006,2.0325
168,10.9509,1.9718
169,10.9934,2.1278
170,11.0365,1.9915
171,11.0786,2.1048
172,11.1279,2.0312
173,11.1768,2.0094
174,11.2198,2.0840
175,11.2618,2.0808
176,11.3113,1.9636
177,11.3605,1.9734
178,11.4036,1.9208
179,11.4457,2.0412
180,11.4949,2.1156
181,11.5438,2.0647
182,11.5867,2.0242
183,11.6287,1.9856
184,11.6767,2.0786
185,11.7247,2.0063
186,11.7676,1.9860
187,11.8101,2.0105
188,11.8516,2.0684
189,11.8943,1.9761
190,11.9435,2.0309
191,11.9851,1.9875
192,12.0267,2.0363
193,12.0694,1.8577
194,12.1177,2.0343
195,12.1597,1.8786
196,12.2014,1.9740
197,12.2441,1.9109
198,12.2935,1.9194
199,12.3354,1.8874
200,12.3767,1.9587
201,12.4195,1.8860
202,12.4686,1.9416
203,12.5101,2.0685
204,12.5517,1.8535
205,12.5939,1.8870
206,12.6431,1.9475
207,12.6851,1.9229
208,12.7268,1.8997
209,12.7684,1.8597
210,12.8269,1.8591
211,12.8687,1.9475
212,12.9104,2.0154
213,12.9533,1.9122
214,13.0031,1.9590
215,13.0448,1.9533
216,13.0870,1.8340
217,13.1286,1.7983
218,13.1716,1.9282
219,13.2143,1.8846
220,13.2568,1.9192
221,13.2997,1.8742
222,13.3423,1.8626
223,13.3839,1.8628
224,13.4251,1.9962
225,13.4677,1.8464
226,13.5103,2.0030
227,13.5521,1.9067
228,13.5936,1.8767
229,13.6362,1.9005
230,13.6790,1.9514
231,13.7208,1.8753
232,13.7738,1.8460
233,13.8166,1.8874
234,13.8592,1.9279
235,13.9009,1.8789
236,13.9426,1.7774
237,13.9852,1.9414
238,14.0267,1.8901
239,14.0693,1.9396
240,14.1111,1.8956
241,14.1531,1.8018
242,14.1943,1.9279
243,14.2360,1.7191
244,14.2780,1.8318
245,14.3199,1.9366
246,14.3627,1.7378
247,14.4043,1.8729
248,14.4470,1.8963
249,14.4888,1.9376
250,14.5313,1.8717
251,14.5731,1.9195
252,14.6161,1.8443
253,14.6583,1.9054
254,14.7114,1.9025
255,14.7530,1.9096
256,14.8024,1.7461
257,14.8445,1.8902
258,14.8867,1.7827
259,14.9286,1.8865
260,14.9708,1.7817
261,15.0128,1.7288
262,15.0624,1.7618
263,15.1041,1.8791
264,15.1456,1.8039
265,15.1881,1.8804
266,15.2298,1.7618
267,15.2714,1.8821
268,15.3137,1.9517
269,15.3553,1.8895
270,15.3971,1.8160
271,15.4387,1.8438
272,15.4803,1.8627
273,15.5219,1.8233
274,15.5635,1.7984
275,15.6056,1.7755
276,15.6590,1.8157
277,15.7011,1.9462
278,15.7431,1.7035
279,15.7909,1.7918
280,15.8328,1.8920
281,15.8745,1.8394
282,15.9160,1.8120
283,15.9652,1.9052
284,16.0077,1.7648
285,16.0495,1.6551
286,16.0913,1.8440
287,16.1389,1.7979
288,16.1807,1.7794
289,16.2223,1.8342
290,16.2638,1.7754
291,16.3133,1.7765
292,16.3550,1.8272
293,16.3973,1.7231
294,16.4391,1.8421
295,16.4884,1.7086
296,16.5302,1.8896
297,16.5728,1.9421
298,16.6254,1.7839
299,16.6747,1.7941
300,16.7172,1.7524
301,16.7607,1.7420
302,16.8027,1.8573
303,16.8521,1.8134
304,16.8942,1.8918
305,16.9356,1.8197
306,16.9774,1.8187
307,17.0265,1.8730
308,17.0684,1.8547
309,17.1108,1.9402
310,17.1537,1.7333
311,17.2033,1.7371
312,17.2454,1.7938
313,17.2885,1.7462
314,17.3310,1.8744
315,17.3802,1.9285
316,17.4228,1.8050
317,17.4648,1.7872
318,17.5080,1.7963
319,17.5497,1.8565
320,17.6000,1.9301
321,17.6526,1.9149
322,17.6948,1.9223
323,17.7368,1.7691
324,17.7787,1.7385
325,17.8208,1.7960
326,17.8702,1.8483
327,17.9131,1.8356
328,17.9550,1.9441
329,17.9969,1.8333
330,18.0460,1.7997
331,18.0874,1.6759
332,18.1295,1.7558
333,18.1712,1.8579
334,18.2202,1.7961
335,18.2626,1.7572
336,18.3049,1.8830
337,18.3467,1.7896
338,18.3960,1.7600
339,18.4376,1.7361
340,18.4797,1.7938
341,18.5216,1.7632
342,18.5706,1.7394
343,18.6131,1.8327
344,18.6547,1.8128
345,18.6964,1.8441
346,18.7454,1.7945
347,18.7868,1.9241
348,18.8286,1.8454
349,18.8707,1.6739
350,18.9194,1.6754
351,18.9613,1.7864
352,19.0041,1.8483
353,19.0459,1.7866
354,19.0954,1.7704
355,19.1369,1.6321
356,19.1791,1.6925
357,19.2222,1.7108
358,19.2716,1.7927
359,19.3132,1.8089
360,19.3550,1.7744
361,19.3969,1.7448
362,19.4461,1.7910
363,19.4971,1.7565
364,19.5391,1.8050
365,19.5807,1.6553
366,19.6300,1.7986
367,19.6716,1.6953
368,19.7141,1.9077
369,19.7557,1.7292
370,19.8053,1.7216
371,19.8469,1.7586
372,19.8890,1.7331
373,19.9318,1.8064
374,19.9767,1.6461
375,20.0220,1.7176
376,20.0646,1.7338
377,20.1151,1.7273
378,20.1595,1.8075
379,20.2027,1.7885
380,20.2452,1.7270
381,20.2878,1.7884
382,20.3284,1.7947
383,20.3686,1.6773
384,20.4087,1.8230
385,20.4606,1.6799
386,20.5003,1.7479
387,20.5400,1.7042
388,20.5794,1.7178
389,20.6209,1.8566
390,20.8786,1.7581
391,20.9237,1.8065
392,20.9687,1.7893
393,21.0132,1.6769
394,21.0731,1.7624
395,21.1163,1.7553
396,21.1672,1.6809
397,21.2100,1.8551
398,21.2536,1.7233
399,21.3043,1.7339
400,21.3466,1.6052
401,21.3891,1.7530
402,21.4318,1.7666
403,21.4805,1.7438
404,21.5234,1.7512
405,21.5651,1.7185
406,21.6071,1.7194
407,21.6485,1.6325
408,21.6922,1.7588
409,21.7342,1.6830
410,21.7768,1.6983
411,21.8185,1.7422
412,21.8606,1.6783
413,21.9040,1.6563
414,21.9462,1.7770
415,21.9887,1.7403
416,22.0414,1.7793
