index,time,loss
0,3.5347,2.7474
1,3.6228,2.5924
2,3.6679,2.4577
3,3.7128,2.3933
4,3.7583,2.3804
5,3.8029,2.3481
6,3.8545,2.4811
7,3.8976,2.3042
8,3.9482,2.3840
9,3.9909,2.4440
10,4.0341,2.4791
11,4.0772,2.3721
12,4.1187,2.3290
13,4.1690,2.2737
14,4.2111,2.2916
15,4.2696,2.3372
16,4.3118,2.3447
17,4.3545,2.3953
18,4.3970,2.2667
19,4.4390,2.3226
20,4.4811,2.4661
21,4.5239,2.2908
22,4.5674,2.3791
23,4.6102,2.2808
24,4.6536,2.3860
25,4.6972,2.5185
26,4.7409,2.4480
27,4.7839,2.3148
28,4.8275,2.3313
29,4.8708,2.4128
30,4.9146,2.4742
31,4.9553,2.3565
32,4.9953,2.4631
33,5.0355,2.4085
34,5.0758,2.3230
35,5.1158,2.3842
36,5.1558,2.4294
37,5.1959,2.3767
38,5.2359,2.4870
39,5.5073,2.3597
40,5.5745,2.4210
41,5.6188,2.2881
42,5.6644,2.3982
43,5.7076,2.3956
44,5.7519,2.3258
45,5.7948,2.4849
46,5.8382,2.2895
47,5.8822,2.3620
48,5.9329,2.3292
49,5.9762,2.4325
50,6.0196,2.3386
51,6.0617,2.2298
52,6.1116,2.2462
53,6.1537,2.3189
54,6.1960,2.2192
55,6.2382,2.2457
56,6.2875,2.2198
57,6.3309,2.2220
58,6.3743,2.1919
59,6.4177,2.3269
60,6.4618,2.2361
61,6.5049,2.2357
62,6.5577,2.2200
63,6.6010,2.1732
64,6.6444,2.3508
65,6.6873,2.2962
66,6.7308,2.2024
67,6.7744,2.3836
68,6.8190,2.3099
69,6.8626,2.3249
70,6.9032,2.2924
71,6.9435,2.3400
72,6.9839,2.2280
73,7.0242,2.1775
74,7.0655,2.1226
75,7.1057,2.1860
76,7.1457,2.2443
77,7.1881,2.2342
78,7.4224,2.1942
79,7.4663,2.1140
80,7.5102,2.0806
81,7.5550,2.1265
82,7.5980,2.1817
83,7.6413,2.0276
84,7.6848,2.1354
85,7.7281,2.0517
86,7.7718,2.2588
87,7.8151,2.0980
88,7.8589,2.2686
89,7.9023,2.0639
90,7.9456,2.1914
91,7.9895,2.0150
92,8.0325,2.1581
93,8.0758,2.0949
94,8.1193,2.0141
95,8.1632,2.0466
96,8.2063,2.1486
97,8.2497,2.1208
98,8.2931,2.0829
99,8.3360,2.0304
100,8.3912,2.1866
101,8.4342,2.0781
102,8.4779,2.1716
103,8.5212,2.0644
104,8.5644,2.0701
105,8.6075,2.1517
106,8.6508,2.1547
107,8.6949,1.9728
108,8.7372,2.0751
109,8.7766,1.9720
110,8.8159,2.1907
111,8.8550,2.1024
112,8.8944,2.0573
113,8.9336,1.9635
114,8.9729,2.0154
115,9.0120,2.0596
116,9.0513,2.1210
117,9.2870,2.1137
118,9.3311,2.0221
119,9.3737,2.0247
120,9.4163,2.0334
121,9.4588,2.0848
122,9.5018,1.9605
123,9.5445,1.9908
124,9.5875,2.0358
125,9.6308,2.0012
126,9.6730,1.9866
127,9.7236,2.0314
128,9.7655,1.9703
129,9.8089,2.1121
130,9.8521,1.9568
131,9.8983,2.0807
132,9.9405,2.0039
133,9.9901,2.0109
134,10.0342,2.0212
135,10.0774,2.0306
136,10.1213,1.9609
137,10.1644,1.9715
138,10.2216,1.9660
139,10.2644,2.0467
140,10.3070,2.0261
141,10.3498,2.0063
142,10.3926,1.9765
143,10.4348,2.0638
144,10.4772,2.0386
145,10.5201,1.8966
146,10.5624,1.9431
147,10.6047,2.0273
148,10.6438,1.8834
149,10.6827,1.9106
150,10.7219,2.0166
151,10.7610,1.8541
152,10.8002,1.8683
153,10.8393,2.0026
154,10.8785,1.8999
155,10.9176,1.9758
156,11.1440,1.9280
157,11.1879,1.9488
158,11.2317,1.9268
159,11.2750,1.9029
160,11.3187,1.9279
161,11.3623,1.8413
162,11.4054,1.8136
163,11.4485,1.8921
164,11.4918,1.9307
165,11.5350,1.9125
166,11.5784,1.9926
167,11.6221,1.8440
168,11.6659,1.9411
169,11.7080,1.9525
170,11.7573,1.9419
171,11.8004,1.9332
172,11.8429,1.9256
173,11.8859,1.9468
174,11.9344,1.9619
175,11.9770,1.9751
176,12.0358,1.9299
177,12.0786,1.9106
178,12.1267,1.9471
179,12.1688,1.9795
180,12.2114,2.0091
181,12.2536,1.9143
182,12.2956,1.9812
183,12.3387,2.0265
184,12.3811,1.8773
185,12.4235,1.9027
186,12.4662,1.9506
187,12.5056,1.8309
188,12.5452,1.9165
189,12.5863,1.9756
190,12.6258,1.7905
191,12.6680,1.8054
192,12.7080,1.8974
193,12.7478,1.8507
194,12.7877,1.8956
195,13.0107,1.8966
196,13.0537,1.8867
197,13.1125,1.9045
198,13.1552,1.8718
199,13.1982,1.8717
200,13.2408,1.7755
201,13.2830,1.7707
202,13.3252,1.8960
203,13.3693,1.8399
204,13.4137,1.8902
205,13.4576,1.9544
206,13.5015,1.7247
207,13.5455,1.8419
208,13.5883,1.9034
209,13.6391,1.9267
210,13.6813,1.8529
211,13.7313,1.7969
212,13.7737,1.9184
213,13.8234,1.8451
214,13.8670,1.9194
215,13.9170,1.8115
216,13.9595,1.8133
217,14.0019,1.9222
218,14.0444,1.9237
219,14.0966,1.9773
220,14.1389,1.7967
221,14.1815,1.9844
222,14.2239,1.9170
223,14.2668,1.8267
224,14.3091,1.7805
225,14.3523,1.9075
226,14.3915,1.7439
227,14.4308,1.8176
228,14.4700,1.8695
229,14.5096,1.7356
230,14.5504,1.7603
231,14.5899,1.8396
232,14.6287,1.8079
233,14.6680,1.8055
234,14.8928,1.9407
235,14.9501,1.7907
236,14.9924,1.8849
237,15.0352,1.9116
238,15.0782,1.7888
239,15.1209,1.7242
240,15.1632,1.7275
241,15.2060,1.8771
242,15.2481,1.7796
243,15.2907,1.8584
244,15.3332,1.8635
245,15.3759,1.6722
246,15.4181,1.7833
247,15.4603,1.8666
248,15.5030,1.8547
249,15.5447,1.7687
250,15.5870,1.8386
251,15.6295,1.9086
252,15.6721,1.8223
253,15.7153,1.8736
254,15.7573,1.7543
255,15.7998,1.7927
256,15.8425,1.8295
257,15.8974,1.8339
258,15.9399,1.9220
259,15.9825,1.7967
260,16.0244,1.9110
261,16.0671,1.8453
262,16.1094,1.8839
263,16.1523,1.7515
264,16.1945,1.8156
265,16.2340,1.7030
266,16.2732,1.7234
267,16.3125,1.8152
268,16.3517,1.6510
269,16.3913,1.7185
270,16.4305,1.8077
271,16.4697,1.8260
272,16.5090,1.7854
273,16.7540,1.8473
274,16.8019,1.7611
275,16.8463,1.8222
276,16.8895,1.8431
277,16.9339,1.7882
278,16.9779,1.7709
279,17.0222,1.6957
280,17.0669,1.8943
281,17.1116,1.8344
282,17.1564,1.7832
283,17.1997,1.8223
284,17.2439,1.6559
285,17.2961,1.7551
286,17.3415,1.8603
287,17.3868,1.9060
288,17.4384,1.7677
289,17.4899,1.7555
290,17.5346,1.8636
291,17.5801,1.8590
292,17.6328,1.9398
293,17.6849,1.7230
294,17.7301,1.6891
295,17.7843,1.8240
296,17.8295,1.7455
297,17.8745,1.8628
298,17.9193,1.8852
299,17.9641,1.8867
300,18.0099,1.8365
301,18.0566,1.8084
302,18.1036,1.7586
303,18.1515,1.8133
304,18.1985,1.7142
305,18.2440,1.7520
306,18.2888,1.8089
307,18.3329,1.6372
308,18.3782,1.7408
309,18.4222,1.7419
310,18.4665,1.7234
311,18.5107,1.7334
312,18.7711,1.7310
313,18.8318,1.7282
314,18.8830,1.7138
315,18.9294,1.7857
316,18.9818,1.7037
317,19.0363,1.7179
318,19.0863,1.7271
319,19.1432,1.8350
320,19.1953,1.7362
321,19.2533,1.7794
322,19.3072,1.8441
323,19.3699,1.6114
324,19.4253,1.6991
325,19.4848,1.7481
326,19.5395,1.8445
327,19.5948,1.7025
328,19.6512,1.6204
329,19.7038,1.8653
330,19.7626,1.7361
331,19.8141,1.9132
332,19.8676,1.6515
333,19.9241,1.6887
334,19.9785,1.7788
335,20.0361,1.7619
336,20.0862,1.8167
337,20.1408,1.7872
338,20.1943,1.8753
339,20.2524,1.8451
340,20.3020,1.7879
341,20.3605,1.7252
342,20.4172,1.7082
343,20.4693,1.6152
344,20.5211,1.6763
345,20.5733,1.7098
346,20.6226,1.5862
347,20.6799,1.7591
348,20.7327,1.7103
349,20.7876,1.6687
350,20.8392,1.7058
351,21.1068,1.6956
352,21.1509,1.6380
353,21.1946,1.6969
354,21.2387,1.7491
355,21.2820,1.7649
356,21.3269,1.6174
357,21.3695,1.6437
358,21.4121,1.8458
359,21.4545,1.8031
360,21.4986,1.7799
361,21.5446,1.8152
362,21.6007,1.6184
363,21.6595,1.7025
364,21.7121,1.7786
365,21.7671,1.8980
366,21.8432,1.6811
367,21.8887,1.6672
368,21.9347,1.7635
369,21.9965,1.8512
370,22.0502,1.8810
371,22.1066,1.6396
372,22.1525,1.6283
373,22.1986,1.7205
374,22.2602,1.7175
375,22.3181,1.7819
376,22.3807,1.7516
377,22.4314,1.8187
378,22.4856,1.8458
379,22.5387,1.6856
380,22.5987,1.6750
381,22.6508,1.6696
382,22.7013,1.6120
383,22.7517,1.6819
384,22.8036,1.7737
385,22.8526,1.5613
386,22.9006,1.6167
387,22.9551,1.5964
388,23.0082,1.6284
389,23.0706,1.6247
390,23.3324,1.6210
391,23.3855,1.6547
392,23.4428,1.6445
393,23.4991,1.7487
394,23.5571,1.7043
395,23.6153,1.6304
396,23.6676,1.6496
397,23.7246,1.7180
398,23.7712,1.6815
399,23.8148,1.7243
400,23.8586,1.6625
401,23.9029,1.4963
402,23.9474,1.6088
403,23.9912,1.7080
404,24.0517,1.8511
405,24.0955,1.6160
406,24.1390,1.5946
407,24.1835,1.7518
408,24.2272,1.6959
409,24.2701,1.8970
410,24.3146,1.5808
411,24.3580,1.6044
412,24.4086,1.7259
413,24.4520,1.7683
414,24.5018,1.7896
415,24.5446,1.7433
416,24.5946,1.8201
417,24.6376,1.7552
418,24.6877,1.6693
419,24.7306,1.6573
420,24.7738,1.6988
421,24.8138,1.5623
422,24.8561,1.6433
423,24.8980,1.7017
424,24.9415,1.5032
425,24.9990,1.7562
426,25.0624,1.6215
427,25.1166,1.5988
428,25.1654,1.6695
429,25.4163,1.5835
430,25.4735,1.6393
431,25.5291,1.6193
432,25.5850,1.6902
433,25.6443,1.6987
434,25.7038,1.6701
435,25.7566,1.6526
436,25.8110,1.7876
437,25.8644,1.6552
438,25.9156,1.6640
