index,time,loss
0,3.9930,3.2540
1,4.1191,2.7172
2,4.2320,2.4731
3,4.3426,2.3715
4,4.4536,2.6555
5,4.5629,2.4068
6,4.6737,2.6671
7,4.7842,2.5375
8,4.8950,2.6530
9,5.0052,2.5447
10,5.1170,2.4829
11,5.2278,2.6742
12,5.3377,2.4831
13,5.4533,2.5547
14,5.5793,2.5387
15,5.6898,2.5573
16,5.8018,2.4686
17,5.9119,2.5632
18,6.0226,2.4889
19,6.1336,2.4575
20,6.2441,2.4252
21,6.3597,2.5647
22,6.4698,2.2958
23,6.5801,2.5688
24,6.6896,2.4657
25,6.8001,2.4653
26,6.9107,2.4346
27,7.0210,2.4709
28,7.1314,2.5270
29,7.2423,2.5418
30,7.3531,2.5243
31,7.4629,2.4826
32,7.5734,2.5141
33,7.6893,2.4537
34,7.8065,2.4824
35,7.9170,2.5829
36,8.0346,2.5156
37,8.1628,2.3846
38,8.2801,2.4005
39,8.3923,2.5716
40,8.5028,2.4935
41,8.6142,2.4551
42,8.7236,2.5541
43,8.8345,2.4379
44,8.9451,2.5436
45,9.0560,2.6128
46,9.1667,2.5836
47,9.2777,2.6484
48,9.3888,2.4568
49,9.4995,2.5542
50,9.6099,2.5755
51,9.7202,2.5931
52,9.8303,2.5751
53,9.9408,2.5909
54,10.0515,2.6849
55,10.1623,2.6379
56,10.2717,2.4978
57,10.3827,2.6563
58,10.4934,2.6051
59,10.6041,2.6325
60,10.7134,2.4606
61,10.8243,2.4401
62,10.9351,2.4661
63,11.0459,2.5522
64,11.1554,2.6556
65,11.2655,2.3918
66,11.3761,2.6401
67,11.4869,2.5987
68,11.5975,2.5351
69,11.7084,2.3666
70,11.8191,2.4697
71,11.9300,2.4371
72,12.0409,2.3042
73,12.1516,2.5620
74,12.2620,2.4366
75,12.3731,2.4641
76,12.4845,2.4346
77,12.6034,2.6059
78,12.7139,2.5811
79,12.8244,2.4688
80,12.9351,2.6405
81,13.0459,2.6236
82,13.1565,2.4957
83,13.2673,2.5389
84,13.3780,2.6664
85,13.4888,2.6186
86,13.5993,2.4380
87,13.7105,2.6592
88,13.8205,2.4592
89,13.9316,2.5557
90,14.0418,2.6274
91,14.1533,2.3232
92,14.2642,2.5100
93,14.3750,2.4637
94,14.4857,2.5528
95,14.5963,2.6159
96,14.7071,2.4370
97,14.8190,2.6141
98,14.9287,2.5162
99,15.0474,2.4147
100,15.1629,2.4534
101,15.2737,2.5580
102,15.3847,2.3207
103,15.5053,2.4978
104,15.6152,2.4087
105,15.7261,2.4548
106,15.8368,2.4444
107,15.9542,2.5916
108,16.0640,2.5244
109,16.1748,2.4596
110,16.2856,2.5042
111,16.3968,2.5749
112,16.5079,2.4862
113,16.6179,2.3901
114,16.7299,2.6631
115,16.8408,2.5187
116,16.9504,2.5707
117,17.0612,2.5103
118,17.1719,2.4665
119,17.2831,2.5439
120,17.3939,2.6922
121,17.5154,2.5447
122,17.6256,2.4832
123,17.7377,2.3632
124,17.8482,2.5018
125,17.9590,2.5218
126,18.0687,2.6786
127,18.1799,2.4061
128,18.2901,2.5113
129,18.4008,2.6493
130,18.5105,2.4246
131,18.6214,2.5190
132,18.7321,2.3080
133,18.8427,2.6275
134,18.9541,2.5489
135,19.0654,2.5298
136,19.1829,2.4541
137,19.2937,2.4346
138,19.4043,2.4310
139,19.5154,2.5324
140,19.6277,2.4006
141,19.7402,2.5117
142,19.8504,2.5448
143,19.9731,2.3759
144,20.0834,2.4398
145,20.2003,2.4581
146,20.3111,2.4063
147,20.4230,2.4039
148,20.5332,2.4741
149,20.6438,2.3492
150,20.7546,2.6950
151,20.8650,2.5599
152,20.9825,2.6229
153,21.0935,2.3738
154,21.2040,2.4710
155,21.3155,2.5122
156,21.4290,2.4706
157,21.5434,2.4306
158,21.6608,2.5431
159,21.7724,2.4629
160,21.8837,2.6060
161,22.0013,2.4684
162,22.1132,2.5846
163,22.2275,2.3814
164,22.3390,2.5295
165,22.4657,2.5104
166,22.5752,2.5461
167,22.6931,2.5808
168,22.8045,2.5240
169,22.9156,2.4411
170,23.0264,2.5199
171,23.1380,2.5607
172,23.2485,2.4722
173,23.3605,2.6428
174,23.4707,2.5956
175,23.5820,2.2867
176,23.6928,2.3545
177,23.8042,2.5181
178,23.9144,2.5886
179,24.0261,2.6373
180,24.1369,2.4209
181,24.2479,2.6243
182,24.3591,2.4586
183,24.4700,2.3598
184,24.5811,2.6392
185,24.6921,2.4945
186,24.8026,2.4699
187,24.9138,2.6474
188,25.0350,2.5477
189,25.1460,2.3946
190,25.2568,2.5130
191,25.3731,2.4706
192,25.4828,2.3512
193,25.5936,2.5402
194,25.7055,2.4636
195,25.8163,2.4316
196,25.9271,2.5643
197,26.0387,2.6519
198,26.1558,2.5234
199,26.2662,2.4303
200,26.3778,2.3389
201,26.4883,2.5787
202,26.5998,2.3327
203,26.7116,2.3425
204,26.8219,2.4269
205,26.9327,2.5118
206,27.0436,2.5384
207,27.1546,2.4072
208,27.2654,2.4720
209,27.3760,2.5375
210,27.4865,2.3546
211,27.5970,2.5330
212,27.7067,2.4784
213,27.8172,2.5259
214,27.9275,2.5549
215,28.0381,2.4244
216,28.1490,2.3493
217,28.2585,2.5293
218,28.3681,2.3487
219,28.4788,2.6061
220,28.5897,2.6142
221,28.7003,2.5409
222,28.8105,2.3785
223,28.9214,2.3463
224,29.0323,2.4759
225,29.1429,2.6215
226,29.2522,2.4416
227,29.3629,2.3719
228,29.4816,2.3871
229,29.5929,2.5102
230,29.7040,2.5500
231,29.8142,2.6305
232,29.9250,2.4925
233,30.0344,2.4725
234,30.1454,2.5216
235,30.2562,2.5565
236,30.3670,2.4488
237,30.4780,2.5887
238,30.5878,2.4283
239,30.6982,2.5527
240,30.8091,2.3617
241,30.9192,2.3476
242,31.0301,2.4460
243,31.1411,2.3607
244,31.2527,2.2485
245,31.3632,2.5359
246,31.4739,2.5428
247,31.5839,2.4718
248,31.6956,2.3696
249,31.8130,2.4307
250,31.9341,2.4496
251,32.0445,2.5447
252,32.1554,2.6457
253,32.2661,2.6526
254,32.3768,2.3345
255,32.4872,2.5055
256,32.5975,2.4215
257,32.7079,2.5299
258,32.8230,2.6129
259,32.9344,2.5824
260,33.0449,2.4254
261,33.1559,2.4866
262,33.2671,2.5499
263,33.3780,2.6328
264,33.4893,2.6286
265,33.6002,2.5202
266,33.7112,2.5359
267,33.8211,2.4971
268,33.9314,2.4926
269,34.0426,2.4378
270,34.1535,2.3982
271,34.2644,2.4309
272,34.3892,2.4654
273,34.5010,2.3767
274,34.6117,2.4146
275,34.7218,2.3731
276,34.8335,2.5306
277,34.9444,2.5764
278,35.0551,2.5446
