index,time,loss
0,5.3127,9.1397
1,5.5669,2.4021
2,5.7387,2.4524
3,5.8648,2.5969
4,6.0129,2.5806
5,6.2315,2.4922
6,6.4252,2.4924
7,6.5527,2.4078
8,6.6909,2.5680
9,6.8400,2.3798
10,7.0740,2.4828
11,7.2158,2.3461
12,7.3454,2.4128
13,7.4940,2.4154
14,7.7447,2.3803
15,7.8858,2.4602
16,8.0070,2.4440
17,8.1504,2.4498
18,8.3965,2.4810
19,8.5395,2.4679
20,8.6648,2.4128
21,8.8111,2.4630
22,9.0578,2.3642
23,9.1943,2.4993
24,9.3191,2.3841
25,9.4625,2.3241
26,9.7118,2.4205
27,9.8552,2.4166
28,9.9897,2.3582
29,10.1291,2.4911
30,10.3516,2.3573
31,10.5427,2.4606
32,10.6734,2.2983
33,10.8119,2.6765
34,10.9726,2.2830
35,11.1825,2.5386
36,11.3243,2.4903
37,11.4542,2.3753
38,11.6048,2.5641
39,11.8382,2.5793
40,12.0003,2.6700
41,12.1242,2.4160
42,12.2733,2.3880
43,12.5187,2.3289
44,12.6739,2.2929
45,12.7958,2.4034
46,12.9283,2.6104
47,13.0675,2.4914
48,13.3041,2.4287
49,13.4452,2.2948
50,13.5716,2.5070
51,13.7200,2.4671
52,13.9570,2.4469
53,14.1215,2.3391
54,14.2549,2.6047
55,14.3833,2.3534
56,14.5362,2.5561
57,14.7677,2.5519
58,14.9116,2.5496
59,15.0414,2.5196
60,15.1901,2.5428
61,15.4314,2.4707
62,15.5795,2.5536
63,15.7082,2.5658
64,15.8597,2.5478
65,16.1158,2.4950
66,16.2700,2.4645
67,16.3948,2.4015
68,16.5204,2.4692
69,16.6583,2.5023
70,16.9041,2.4620
71,17.0439,2.5731
72,17.1738,2.4412
73,17.3165,2.3590
74,17.5684,2.5054
75,17.7094,2.4994
76,17.8379,2.4080
77,18.0066,2.5804
78,18.2440,2.4997
79,18.4112,2.4331
80,18.5405,2.4106
81,18.6635,2.5532
82,18.8004,2.4277
83,19.0449,2.4364
84,19.1902,2.3596
85,19.3194,2.4365
86,19.4604,2.5060
87,19.6200,2.5532
88,19.8492,2.3717
89,19.9781,2.6671
90,20.1003,2.5101
91,20.2432,2.5261
92,20.4879,2.4397
93,20.6292,2.4638
94,20.7613,2.4690
95,20.9046,2.4635
96,21.1532,2.5389
97,21.3031,2.4262
98,21.4278,2.3491
99,21.5747,2.5462
100,21.7201,2.5037
101,21.9543,2.4851
102,22.0975,2.3050
103,22.2235,2.6203
104,22.3678,2.4708
105,22.6059,2.4873
106,22.7829,2.3903
107,22.9098,2.2977
108,23.0398,2.4657
109,23.1896,2.5092
110,23.4353,2.2843
111,23.5821,2.3853
112,23.7118,2.5054
113,23.8480,2.4579
114,24.0195,2.5399
115,24.2240,2.2785
116,24.3567,2.3740
117,24.4831,2.3700
118,24.6228,2.2891
119,24.8190,2.3837
120,25.0292,2.3736
121,25.1657,2.5606
122,25.2917,2.5704
123,25.4329,2.4751
124,25.6770,2.5039
125,25.8212,2.3540
126,25.9474,2.5142
127,26.0935,2.3780
128,26.3421,2.3032
129,26.4987,2.4885
130,26.6250,2.4574
131,26.7770,2.4682
132,27.0157,2.3657
133,27.1855,2.5331
134,27.3151,2.4023
135,27.4407,2.4572
136,27.5816,2.3907
137,27.8310,2.3744
138,27.9726,2.4579
139,28.0962,2.5757
140,28.2421,2.3597
141,28.4761,2.3670
142,28.6424,2.4819
143,28.7782,2.3734
144,28.9241,2.3704
145,29.1586,2.4967
146,29.3362,2.5268
147,29.4624,2.5590
148,29.5908,2.5021
149,29.7369,2.3740
150,29.9877,2.4712
151,30.1367,2.3720
152,30.2628,2.5362
153,30.3928,2.3440
154,30.5456,2.4546
155,30.7761,2.2875
156,30.9200,2.3780
157,31.0441,2.4137
158,31.1875,2.6999
159,31.4329,2.4004
160,31.5880,2.5932
161,31.7185,2.5892
162,31.8679,2.4423
163,32.1200,2.4372
164,32.2612,2.4664
165,32.3909,2.4143
166,32.5395,2.4745
167,32.7848,2.5111
168,32.9341,2.5422
169,33.0635,2.4413
170,33.1866,2.4789
171,33.3225,2.4786
172,33.5683,2.4687
173,33.7185,2.5287
174,33.8442,2.5666
175,33.9770,2.3959
176,34.1237,2.3683
177,34.3571,2.4296
178,34.5002,2.4343
179,34.6254,2.3767
180,34.7687,2.5211
181,35.0041,2.3674
182,35.1700,2.4673
183,35.3004,2.4840
184,35.4259,2.4861
185,35.5671,2.4646
186,35.8114,2.3629
187,35.9673,2.2806
188,36.1041,2.5040
189,36.2469,2.5018
190,36.4852,2.4605
191,36.6622,2.3344
192,36.7924,2.3747
193,36.9264,2.4942
194,37.0743,2.3841
195,37.3158,2.4909
196,37.4587,2.5909
197,37.5845,2.4872
198,37.7229,2.3255
199,37.8981,2.4001
200,38.0956,2.4845
201,38.2244,2.5346
202,38.3519,2.5789
203,38.4928,2.3590
204,38.7220,2.3194
205,38.8933,2.3707
206,39.0169,2.3659
207,39.1531,2.3988
208,39.3369,2.4670
209,39.5285,2.5632
210,39.6578,2.3758
211,39.7896,2.3734
212,39.9375,2.5562
213,40.1825,2.3598
214,40.3470,2.5342
215,40.4732,2.4755
216,40.6066,2.2906
217,40.7479,2.5201
218,40.9863,2.4888
219,41.1316,2.5607
220,41.2588,2.4616
221,41.4013,2.4318
222,41.6140,2.4338
223,41.7960,2.3647
224,41.9213,2.2703
225,42.0534,2.6271
226,42.1963,2.4635
227,42.4401,2.5504
228,42.5986,2.5864
229,42.7237,2.3756
230,42.8718,2.4702
231,43.1109,2.3257
232,43.2643,2.6232
233,43.3954,2.5411
234,43.5372,2.5722
235,43.6721,2.5473
236,43.9082,2.4749
237,44.0658,2.4607
238,44.1900,2.5476
239,44.3280,2.4479
240,44.5426,2.3736
241,44.7388,2.4649
242,44.8630,2.4677
243,45.0034,2.3822
244,45.2246,2.2884
245,45.4175,2.4228
246,45.5475,2.3591
247,45.6801,2.7022
248,45.8278,2.4541
249,46.0706,2.4561
250,46.2219,2.2955
251,46.3439,2.5869
252,46.4904,2.3743
253,46.7352,2.5617
254,46.8921,2.4951
255,47.0215,2.4854
256,47.1504,2.4960
257,47.2933,2.3091
258,47.5350,2.3740
259,47.6825,2.5345
260,47.8120,2.4745
261,47.9535,2.5167
262,48.1333,2.2828
263,48.3238,2.4237
264,48.4503,2.5659
265,48.5816,2.4715
266,48.7291,2.3914
267,48.9763,2.4128
268,49.1271,2.2861
269,49.2617,2.3389
270,49.4023,2.4371
271,49.6117,2.4126
272,49.8140,2.5417
273,49.9416,2.5405
274,50.0695,2.4536
275,50.2194,2.3947
276,50.4651,2.5681
277,50.6056,2.5095
278,50.7388,2.4397
279,50.8854,2.5640
280,51.1173,2.5145
281,51.2961,2.4075
282,51.4225,2.4769
283,51.5516,2.3755
284,51.6926,2.3820
285,51.9256,2.3878
286,52.0747,2.4647
287,52.2110,2.4307
288,52.3499,2.3838
289,52.5617,2.5470
290,52.7575,2.6096
291,52.8826,2.6513
292,53.0118,2.3929
293,53.1571,2.3487
294,53.4073,2.2983
295,53.5487,2.4246
296,53.6829,2.4846
297,53.8273,2.3048
298,54.0305,2.5146
299,54.2195,2.5637
300,54.3517,2.4691
301,54.4810,2.4332
302,54.6258,2.4297
303,54.8734,2.5408
304,55.0146,2.5004
305,55.1390,2.4309
306,55.2725,2.5841
307,55.4447,2.3740
308,55.6556,2.5694
309,55.7990,2.3369
310,55.9260,2.3760
311,56.0643,2.3891
312,56.3027,2.3833
313,56.4853,2.3888
314,56.6147,2.3690
315,56.7457,2.5782
316,56.9515,2.4612
317,57.1450,2.4692
318,57.2664,2.5067
319,57.3969,2.5572
320,57.5387,2.3622
321,57.7782,2.4710
322,57.9306,2.3160
323,58.0551,2.4630
324,58.1894,2.4060
325,58.3398,2.5618
326,58.5813,2.3982
327,58.7232,2.4546
328,58.8495,2.3772
329,58.9897,2.5857
330,59.2304,2.4693
331,59.4027,2.4889
332,59.5289,2.4114
333,59.6592,2.5671
334,59.8016,2.3764
335,60.0402,2.3657
336,60.1863,2.3298
337,60.3103,2.5399
338,60.4575,2.5553
339,60.7188,2.5741
340,60.8606,2.4673
341,60.9834,2.4966
342,61.1297,2.3423
343,61.3807,2.6220
344,61.5325,2.3884
345,61.6601,2.3826
346,61.7934,2.4418
347,61.9366,2.4146
348,62.1741,2.3998
349,62.3180,2.4823
350,62.4434,2.5562
351,62.5860,2.4062
352,62.8239,2.3636
353,62.9889,2.5765
354,63.1182,2.5453
355,63.2508,2.4687
356,63.3941,2.5504
357,63.6366,2.3949
358,63.7750,2.4744
359,63.8987,2.4290
360,64.0452,2.3749
361,64.2925,2.5371
362,64.4316,2.4085
363,64.5603,2.4671
364,64.7032,2.5403
365,64.9370,2.4020
366,65.1145,2.3790
367,65.2368,2.3921
368,65.3835,2.4674
369,65.6230,2.5509
370,65.7885,2.4693
371,65.9162,2.6645
372,66.0649,2.4687
373,66.3075,2.3817
374,66.4745,2.3671
375,66.6023,2.4790
376,66.7298,2.3990
377,66.8700,2.5333
378,67.1112,2.3772
379,67.2559,2.4655
380,67.3854,2.3544
381,67.5385,2.5499
382,67.7818,2.6047
383,67.9409,2.5754
384,68.0617,2.3408
385,68.2002,2.5005
386,68.4412,2.5742
387,68.6068,2.4049
388,68.7274,2.4464
389,68.8629,2.4106
390,69.2601,2.5530
391,69.4035,2.3904
392,69.6578,2.4626
393,69.7988,2.4597
394,69.9221,2.6338
395,70.0654,2.5262
396,70.3088,2.4812
397,70.4573,2.3467
398,70.5851,2.3268
399,70.7309,2.5976
400,70.9156,2.5438
401,71.1164,2.4378
402,71.2481,2.3731
403,71.3795,2.3750
404,71.5202,2.3701
405,71.6711,2.5227
406,71.8819,2.4458
407,72.0256,2.5587
408,72.1559,2.4512
409,72.2991,2.4269
410,72.5449,2.5717
411,72.6894,2.4796
412,72.8165,2.5374
413,72.9676,2.3558
414,73.1916,2.3030
415,73.3808,2.3426
416,73.5096,2.4130
417,73.6368,2.5409
418,73.7911,2.3684
419,74.0322,2.4937
420,74.1833,2.4810
421,74.3099,2.5002
422,74.4374,2.4573
423,74.5835,2.3800
424,74.8282,2.5181
425,74.9674,2.4647
426,75.0992,2.3586
427,75.2469,2.3855
428,75.4920,2.4635
429,75.6506,2.3052
430,75.7767,2.3551
431,75.9112,2.4259
432,76.0932,2.4936
433,76.2930,2.3549
434,76.4176,2.5026
435,76.5453,2.3902
436,76.6991,2.4170
437,76.9525,2.3713
438,77.0990,2.3801
439,77.2213,2.5110
440,77.3490,2.6453
441,77.4930,2.3822
442,77.7279,2.5572
443,77.8734,2.3939
444,78.0045,2.3676
445,78.1469,2.3446
446,78.3670,2.4906
447,78.5645,2.6241
448,78.6949,2.3228
449,78.8220,2.5859
450,78.9697,2.5543
451,79.2150,2.3688
452,79.3619,2.4803
453,79.4796,2.4972
454,79.6266,2.4567
455,79.8587,2.2811
456,80.0212,2.5339
457,80.1451,2.2792
458,80.2924,2.5055
459,80.4847,2.4273
460,80.6649,2.5178
461,80.7897,2.4022
462,80.9148,2.3919
463,81.0585,2.4618
464,81.3047,2.5556
465,81.4568,2.3996
466,81.5904,2.4680
467,81.7277,2.3581
468,81.8717,2.4088
469,82.1130,2.3914
470,82.2547,2.3285
471,82.3958,2.3261
472,82.5378,2.7452
473,82.7471,2.3998
474,82.9539,2.4956
475,83.0824,2.3777
476,83.2252,2.4147
477,83.3640,2.3194
478,83.6028,2.3270
479,83.7442,2.3983
480,83.8693,2.3939
481,84.0193,2.5237
482,84.2717,2.6265
483,84.4255,2.4020
484,84.5525,2.5666
485,84.6857,2.4733
486,84.8287,2.3638
487,85.0703,2.3678
488,85.2122,2.3498
489,85.3335,2.3098
490,85.4738,2.4544
491,85.7230,2.3817
492,85.8901,2.4992
493,86.0239,2.3938
494,86.1595,2.4756
495,86.2984,2.5914
496,86.5384,2.5158
497,86.6796,2.3948
498,86.8108,2.5352
499,86.9821,2.5632
500,87.2346,2.3960
501,87.3928,2.4247
502,87.5263,2.5064
503,87.6700,2.5812
504,87.9116,2.4539
505,88.0953,2.5108
506,88.2240,2.4327
507,88.3566,2.4787
508,88.5168,2.3556
509,88.7378,2.3970
510,88.8802,2.3864
511,89.0062,2.4738
512,89.1547,2.5044
513,89.3992,2.3679
514,89.5821,2.5432
515,89.7074,2.5470
516,89.8354,2.5203
517,89.9798,2.4082
518,90.2218,2.4726
519,90.3705,2.4132
520,90.5002,2.2775
521,90.6544,2.3707
522,90.8909,2.4086
523,91.0573,2.5549
524,91.1867,2.4629
525,91.3134,2.4515
526,91.4584,2.4950
527,91.7070,2.2927
528,91.8520,2.3654
529,91.9789,2.4955
530,92.1201,2.4094
531,92.3133,2.3925
532,92.4995,2.4849
533,92.6323,2.2691
534,92.7630,2.3381
535,92.9025,2.6948
536,93.0870,2.6669
537,93.2769,2.5907
538,93.4046,2.5007
539,93.5448,2.4475
540,93.6958,2.4718
541,93.9430,2.5474
542,94.0844,2.4810
543,94.2088,2.3682
544,94.3556,2.3854
545,94.6034,2.3743
546,94.7463,2.5236
547,94.8734,2.4256
548,95.0221,2.4066
549,95.2671,2.3537
550,95.4370,2.2942
551,95.5688,2.4961
552,95.7075,2.5685
553,95.8667,2.4325
554,96.1193,2.5463
555,96.2669,2.5160
556,96.3964,2.2728
557,96.5377,2.4395
558,96.7637,2.5086
559,96.9528,2.3170
560,97.0793,2.5585
561,97.2179,2.6436
562,97.3657,2.3434
563,97.6125,2.4487
564,97.7714,2.4644
565,97.9013,2.5760
566,98.0376,2.5126
567,98.1787,2.3919
568,98.4159,2.3830
569,98.5581,2.4086
570,98.6875,2.5624
571,98.8286,2.5197
572,99.0336,2.3663
573,99.2457,2.5921
574,99.3768,2.4426
575,99.5131,2.5244
576,99.6703,2.4952
577,99.9073,2.5075
578,100.0513,2.2856
579,100.1863,2.4971
580,100.3296,2.5651
581,100.5760,2.5322
582,100.7391,2.5411
583,100.8829,2.4679
584,101.0158,2.3115
585,101.1697,2.4516
586,101.4109,2.4007
587,101.5525,2.4799
588,101.6895,2.6096
589,101.8413,2.3451
590,102.0832,2.4647
591,102.2439,2.5685
592,102.3797,2.4457
593,102.5094,2.2842
594,102.6649,2.3734
595,102.9099,2.5156
596,103.0539,2.3847
597,103.1834,2.4386
598,103.3282,2.3972
599,103.5691,2.5732
600,103.7429,2.4770
601,103.8723,2.3293
602,104.0128,2.4258
603,104.2273,2.4782
604,104.4198,2.4258
605,104.5573,2.5432
606,104.7111,2.3815
607,104.9810,2.5975
608,105.1438,2.3377
609,105.2767,2.4624
610,105.4294,2.6405
611,105.6720,2.6069
612,105.8344,2.4581
613,105.9657,2.4769
614,106.1045,2.4638
615,106.2645,2.5140
616,106.4865,2.4147
617,106.6291,2.4663
618,106.7518,2.5206
619,106.9021,2.4332
620,107.1459,2.3453
621,107.2914,2.3023
622,107.4159,2.5016
623,107.5646,2.4146
624,107.8126,2.5026
625,107.9514,2.5096
626,108.0786,2.5587
627,108.2508,2.4714
628,108.4865,2.5461
629,108.6503,2.4340
630,108.7828,2.4544
631,108.9231,2.4778
632,109.0688,2.5194
633,109.3021,2.3777
634,109.4461,2.4528
635,109.5799,2.3778
636,109.7360,2.3548
637,109.9819,2.3294
638,110.1340,2.4633
639,110.2669,2.4983
640,110.4053,2.4100
641,110.6436,2.4029
642,110.8292,2.3134
643,110.9564,2.5692
644,111.0919,2.2870
645,111.2438,2.3681
646,111.4862,2.6463
647,111.6385,2.5872
648,111.7646,2.3749
649,111.9090,2.5039
650,112.1664,2.3569
651,112.3106,2.3723
652,112.4384,2.4903
653,112.5712,2.5981
654,112.7190,2.2915
655,112.9640,2.3754
656,113.1067,2.5094
657,113.2365,2.2674
658,113.3850,2.3725
659,113.6370,2.3891
660,113.7908,2.2805
661,113.9224,2.4841
662,114.0628,2.3133
663,114.2733,2.3929
664,114.4781,2.4441
665,114.6148,2.4059
666,114.7442,2.4491
667,114.8950,2.5672
668,115.1356,2.5089
669,115.2925,2.5621
670,115.4213,2.4467
671,115.5502,2.4159
672,115.6924,2.5606
673,115.9362,2.4067
674,116.0766,2.4783
675,116.2082,2.5575
676,116.3586,2.5279
677,116.6051,2.3813
678,116.7684,2.4631
679,116.8902,2.5338
680,117.0249,2.6143
681,117.2012,2.3961
682,117.4040,2.3941
683,117.5360,2.3118
684,117.6677,2.3991
685,117.8177,2.4543
686,118.0638,2.3715
687,118.2027,2.3772
688,118.3271,2.4753
689,118.4715,2.4014
690,118.7150,2.4045
691,118.8568,2.4521
692,118.9847,2.4098
693,119.1166,2.3825
694,119.2626,2.5149
695,119.5020,2.4395
696,119.6464,2.3114
697,119.7746,2.5309
698,119.9192,2.5502
699,120.1341,2.3703
700,120.3252,2.5287
701,120.4560,2.5493
702,120.5835,2.3851
703,120.7317,2.2827
704,120.9786,2.3731
705,121.1203,2.3619
706,121.2486,2.4068
707,121.3926,2.3866
708,121.5873,2.4417
709,121.7879,2.3541
710,121.9149,2.3951
711,122.0482,2.4323
712,122.2146,2.5144
713,122.4682,2.3632
714,122.6151,2.5762
715,122.7422,2.4979
716,122.8884,2.5405
717,123.1150,2.5563
718,123.2907,2.4263
719,123.4213,2.4082
720,123.5533,2.4553
721,123.7074,2.3194
722,123.9545,2.4052
723,124.1057,2.4492
724,124.2350,2.3756
725,124.3700,2.5043
726,124.5181,2.3975
727,124.7600,2.4023
728,124.9106,2.2894
729,125.0330,2.4186
730,125.1784,2.5317
731,125.4348,2.4710
732,125.5856,2.4777
733,125.7188,2.3499
734,125.8655,2.3968
735,126.0974,2.4803
736,126.2836,2.2820
737,126.4186,2.3591
738,126.5526,2.3724
739,126.7077,2.3903
740,126.9658,2.4647
741,127.1211,2.5484
742,127.2593,2.5717
743,127.4014,2.3696
744,127.6007,2.3598
745,127.7947,2.4839
746,127.9336,2.4250
747,128.0657,2.3046
748,128.2112,2.4053
749,128.4414,2.4801
750,128.6322,2.4511
751,128.7647,2.4210
752,128.8944,2.4727
753,129.0427,2.4991
754,129.2851,2.3709
755,129.4216,2.3761
756,129.5506,2.4851
757,129.6979,2.3980
758,129.9444,2.5726
759,130.0885,2.3341
760,130.2195,2.5663
761,130.3611,2.4947
762,130.5863,2.2758
763,130.7637,2.5397
764,130.8948,2.3961
765,131.0309,2.3744
766,131.1895,2.4128
767,131.4148,2.4972
768,131.5540,2.4412
769,131.6795,2.2740
770,131.8297,2.3002
771,132.0709,2.4555
772,132.2541,2.4020
773,132.3777,2.4722
774,132.5054,2.3739
775,132.6478,2.4690
776,132.8914,2.5807
777,133.0411,2.3719
778,133.1750,2.3762
779,133.3170,2.4019
780,133.6900,2.3153
781,133.8221,2.6872
782,133.9594,2.3808
783,134.2036,2.3920
784,134.3829,2.5637
785,134.5120,2.6496
786,134.6395,2.4217
787,134.7821,2.5488
788,135.0257,2.3779
789,135.1713,2.5076
790,135.2988,2.5802
791,135.4405,2.4015
792,135.6599,2.3813
793,135.8523,2.3316
794,135.9817,2.3733
795,136.1166,2.4626
796,136.2987,2.4024
797,136.4883,2.4476
798,136.6157,2.3964
799,136.7438,2.3352
800,136.8981,2.5325
801,137.1458,2.4931
802,137.2904,2.5111
803,137.4173,2.3306
804,137.5606,2.4292
805,137.8018,2.3505
806,137.9645,2.3752
807,138.0902,2.4625
808,138.2408,2.4296
809,138.4877,2.5152
810,138.6502,2.4168
811,138.7893,2.2923
812,138.9395,2.4864
813,139.1207,2.4849
814,139.3197,2.5594
815,139.4455,2.4336
816,139.5813,2.2872
817,139.7266,2.3816
818,139.9433,2.4558
819,140.1368,2.2848
820,140.2649,2.3866
821,140.3951,2.2922
822,140.5382,2.6198
823,140.7826,2.3835
824,140.9264,2.4316
825,141.0622,2.5324
826,141.2071,2.4041
827,141.4515,2.3901
828,141.6069,2.3750
829,141.7331,2.4341
830,141.8825,2.5307
831,142.1250,2.3548
832,142.2744,2.4891
833,142.4033,2.2947
834,142.5561,2.2876
835,142.7877,2.3059
836,142.9671,2.5027
837,143.0930,2.5710
838,143.2244,2.3216
839,143.3710,2.5502
840,143.6180,2.3596
841,143.7666,2.3608
842,143.8935,2.3401
843,144.0359,2.4009
844,144.2860,2.2882
845,144.4355,2.3064
846,144.5685,2.4558
847,144.7071,2.2760
848,144.8750,2.3943
849,145.0823,2.4876
850,145.2199,2.5474
851,145.3484,2.2887
852,145.4965,2.3811
853,145.7433,2.3825
854,145.8885,2.4280
855,146.0190,2.3786
856,146.1598,2.4675
857,146.4039,2.2774
858,146.5744,2.3326
859,146.6974,2.3700
860,146.8410,2.4534
861,147.0840,2.4543
862,147.2497,2.5372
863,147.3790,2.4946
864,147.5087,2.4589
865,147.6672,2.4790
866,147.9184,2.3653
867,148.0779,2.2906
868,148.2137,2.3444
869,148.3798,2.3228
870,148.6253,2.2909
871,148.7778,2.4689
872,148.9338,2.5604
873,149.0929,2.4676
874,149.3219,2.4429
875,149.4603,2.5397
876,149.6036,2.4632
877,149.7755,2.4150
878,150.0178,2.3889
879,150.1608,2.3687
880,150.3040,2.4059
881,150.4644,2.4635
882,150.7231,2.4391
883,150.8706,2.5063
884,151.0003,2.5939
885,151.1337,2.6867
886,151.3045,2.3941
887,151.5105,2.3813
888,151.6506,2.4851
889,151.7704,2.4632
890,151.9105,2.3699
891,152.1566,2.4540
892,152.3184,2.3792
893,152.4444,2.4590
894,152.6031,2.4734
895,152.8401,2.5173
896,153.0048,2.4168
897,153.1395,2.4722
898,153.2768,2.3853
899,153.4209,2.4791
900,153.6707,2.4654
901,153.8388,2.3657
902,153.9701,2.5149
903,154.1083,2.3033
904,154.2575,2.5071
905,154.4946,2.4391
906,154.6402,2.3408
907,154.7684,2.3747
908,154.9066,2.4410
909,155.0753,2.5612
910,155.2851,2.2693
911,155.4173,2.3502
912,155.5524,2.3639
913,155.7028,2.5756
914,155.9528,2.3654
915,156.0987,2.4608
916,156.2294,2.4591
917,156.3777,2.2810
918,156.6257,2.2655
919,156.7758,2.4770
920,156.9008,2.4694
921,157.0388,2.5794
922,157.1955,2.5577
923,157.4192,2.3227
924,157.5594,2.3749
925,157.6898,2.6561
926,157.8393,2.6714
927,158.0916,2.6213
928,158.2415,2.4347
929,158.3697,2.4356
930,158.5016,2.3585
931,158.6461,2.3869
932,158.8877,2.4637
933,159.0324,2.4228
934,159.1644,2.4711
935,159.3188,2.5141
936,159.5682,2.4605
937,159.7471,2.4842
938,159.8828,2.4719
939,160.0190,2.4333
940,160.1667,2.4850
941,160.4158,2.3996
942,160.5705,2.4538
943,160.6972,2.3637
944,160.8324,2.4733
945,160.9789,2.5866
946,161.2082,2.3388
947,161.3564,2.3821
948,161.4852,2.4543
949,161.6450,2.4930
950,161.8985,2.4813
951,162.0444,2.4741
952,162.1794,2.3871
953,162.3311,2.3599
954,162.5807,2.4598
955,162.7267,2.4444
956,162.8582,2.4060
957,163.0104,2.5414
958,163.2494,2.4053
959,163.4252,2.3892
960,163.5569,2.6015
961,163.6968,2.6573
962,163.9243,2.2690
963,164.1104,2.6739
964,164.2421,2.4624
965,164.3820,2.3773
966,164.6020,2.3958
967,164.7965,2.3551
968,164.9248,2.3366
969,165.0710,2.4669
970,165.3156,2.5425
971,165.4700,2.5236
972,165.5971,2.5499
973,165.7414,2.3810
974,165.9842,2.3731
975,166.1445,2.3725
976,166.2702,2.3113
977,166.4146,2.3783
978,166.6296,2.5191
979,166.8074,2.4778
980,166.9411,2.6548
981,167.0726,2.4699
982,167.2149,2.3713
983,167.4675,2.3227
984,167.6195,2.4038
985,167.7463,2.4167
986,167.8875,2.4512
987,168.0315,2.4429
988,168.2860,2.4263
989,168.4447,2.4808
990,168.5718,2.4873
991,168.7181,2.3059
992,168.9700,2.4540
993,169.1291,2.5662
994,169.2539,2.3671
995,169.3953,2.4901
996,169.6327,2.3382
997,169.8136,2.5638
998,169.9377,2.4353
999,170.0685,2.5831
1000,170.2130,2.6844
1001,170.4505,2.4889
1002,170.5899,2.4741
1003,170.7232,2.2996
1004,170.8768,2.4909
1005,171.1224,2.5809
1006,171.2632,2.4249
1007,171.3851,2.5208
1008,171.5373,2.5615
1009,171.7844,2.2896
1010,171.9230,2.3608
1011,172.0412,2.2955
1012,172.1895,2.5711
1013,172.4336,2.4216
1014,172.5937,2.5028
1015,172.7157,2.5547
1016,172.8470,2.3802
1017,173.0020,2.4866
1018,173.2397,2.4426
1019,173.3850,2.4454
1020,173.5160,2.4278
1021,173.6640,2.4951
1022,173.9154,2.5990
1023,174.0700,2.4527
1024,174.2016,2.4181
1025,174.3370,2.3120
1026,174.5131,2.2559
1027,174.7157,2.3469
1028,174.8483,2.3555
1029,174.9686,2.4448
1030,175.1130,2.4960
1031,175.3600,2.4052
1032,175.5038,2.3622
