index,time,loss
0,5.0473,2.8734
1,5.4005,2.7790
2,5.7304,2.5722
3,6.0464,2.3904
4,6.4043,2.3480
5,6.7217,2.2770
6,7.0461,2.3264
7,7.3715,2.2261
8,7.7075,2.2609
9,8.0476,2.3387
10,8.3861,2.1818
11,8.7288,2.1974
12,9.0662,2.2203
13,9.4141,2.1777
14,9.6956,2.2116
15,10.0065,2.1481
16,10.3355,2.1507
17,10.6441,2.1655
18,10.9740,2.1138
19,11.3012,2.1565
20,11.6118,2.1767
21,11.8977,2.3309
22,12.1820,2.0679
23,12.5141,2.1082
24,12.8203,2.1467
25,13.1461,2.0657
26,13.4718,2.1275
27,13.7977,2.0575
28,14.1341,2.0037
29,14.4861,2.0592
30,14.8014,1.9886
31,15.1318,1.9954
32,15.4622,1.8896
33,15.7205,2.0210
34,15.9746,2.0635
35,16.3075,1.9894
36,16.6562,1.8430
37,16.9678,2.0108
38,17.3061,1.9048
39,17.6540,1.9991
40,17.9599,1.8471
41,18.2955,1.7754
42,18.5543,1.8426
43,18.8072,2.0381
44,19.1386,1.9330
45,19.4706,1.8526
46,19.8141,1.8111
47,20.1623,2.0333
48,20.5021,1.9405
49,20.8249,1.8603
50,21.1554,1.9405
51,21.5022,1.7587
52,21.8407,1.8409
53,22.1472,1.9597
54,22.4822,1.8578
55,22.8173,1.8822
56,23.1621,1.8686
57,23.4981,1.9218
58,23.8246,1.8004
59,24.1544,1.8005
60,24.4124,1.8422
61,24.6659,1.9026
62,24.9195,1.9040
63,25.2279,1.8160
64,25.4820,1.7444
65,25.7590,1.8402
66,26.0944,1.8232
67,26.4289,1.7762
68,26.7418,1.9083
69,27.0820,1.7465
70,27.4166,1.8158
71,27.7660,1.8461
72,28.0938,1.7656
73,28.4461,1.9417
74,28.7730,1.8693
75,29.1118,1.8523
76,29.3698,1.8235
77,29.6232,1.8919
78,29.9360,1.7689
79,30.2722,1.9639
80,30.6221,1.7510
81,30.9581,1.8903
82,31.2701,1.8445
83,31.5964,1.9326
84,31.9224,1.7811
85,32.2482,1.8959
86,32.5741,1.9054
87,32.9101,1.7328
88,33.2448,1.8198
89,33.5721,1.6591
90,33.8975,1.8819
91,34.2301,1.7991
92,34.5560,1.7823
93,34.8817,1.8200
94,35.2072,1.8512
95,35.5166,1.7657
96,35.8201,1.7795
97,36.1456,1.8059
98,36.4861,1.7444
99,36.7961,1.7743
100,37.1214,1.6481
101,37.4327,1.7940
102,37.7417,1.7246
103,38.0507,1.7105
104,38.3814,1.7334
105,38.6902,1.7777
106,39.0162,1.6767
107,39.3244,1.7545
108,39.6331,1.6911
109,39.9414,1.6783
110,40.2524,1.7968
111,40.5633,1.8457
112,40.8908,1.7781
113,41.1982,1.6929
114,41.5238,1.7354
115,41.8495,1.7873
116,42.1075,1.7551
117,42.3658,1.7334
118,42.6501,1.7452
119,42.9754,1.7979
120,43.3221,1.7151
121,43.6539,1.7214
122,43.9920,1.7180
123,44.3300,1.6695
124,44.6661,1.7674
125,44.9917,1.7931
126,45.2488,1.7371
127,45.5491,1.7694
128,45.8953,1.6394
129,46.2328,1.7450
130,46.5441,1.7788
131,46.8737,1.6732
132,47.2223,1.7904
133,47.5533,1.7136
134,47.8732,1.8301
135,48.2039,1.7367
136,48.4621,1.6983
137,48.7920,1.7695
138,49.1265,1.9128
139,49.4343,1.7835
140,49.7602,1.7248
141,50.0857,1.7441
142,50.4223,1.7820
143,50.7482,1.6340
144,51.0168,1.8168
145,51.2707,1.6956
146,51.6016,1.7579
147,51.9279,1.7865
148,52.2537,1.6729
149,52.5246,1.6415
150,52.7814,1.6916
151,53.0355,1.8506
152,53.2881,1.5459
153,53.5419,1.7393
154,53.7950,1.6578
155,54.0496,1.7859
156,54.3035,1.6987
157,54.5563,1.8065
158,54.8301,1.6884
159,55.0839,1.6245
160,55.3374,1.8012
161,55.5920,1.6798
162,55.8456,1.7121
163,56.0994,1.7533
164,56.3526,1.5902
165,56.6058,1.7817
166,56.8585,1.6295
167,57.1141,1.7491
168,57.3669,1.7528
169,57.6207,1.8066
170,57.8747,1.7137
171,58.1278,1.6233
172,58.3817,1.6910
173,58.6400,1.6860
174,58.8928,1.5911
175,59.1466,1.7630
176,59.4005,1.6313
177,59.6550,1.6777
178,59.9103,1.6288
179,60.1640,1.7029
180,60.4179,1.6698
181,60.6719,1.7043
182,60.9258,1.6241
183,61.1811,1.7675
184,61.4367,1.6533
185,61.6909,1.5969
186,61.9446,1.6250
187,62.1993,1.7640
188,62.4524,1.6816
189,62.7077,1.7013
190,62.9623,1.7253
191,63.2155,1.7748
192,63.4696,1.6815
193,63.7218,1.5845
194,63.9758,1.7093
195,64.2295,1.6579
196,64.4852,1.6262
197,64.7388,1.6529
198,64.9925,1.6809
199,65.2461,1.6302
200,65.4992,1.8455
201,65.7525,1.6333
202,66.0404,1.6917
203,66.3662,1.7573
204,66.6972,1.6311
205,67.0369,1.7503
206,67.3817,1.6740
207,67.6632,1.5926
208,67.9174,1.6944
209,68.1704,1.6277
210,68.5006,1.6656
211,68.8275,1.7406
212,69.1545,1.6914
213,69.4812,1.6485
214,69.8138,1.5971
215,70.1411,1.7402
216,70.4821,1.6564
217,70.8306,1.6956
218,71.1701,1.6913
219,71.5181,1.6461
220,71.8554,1.6737
221,72.2021,1.6204
222,72.5394,1.7154
223,72.7965,1.6984
224,73.1174,1.6100
225,73.4480,1.6072
226,73.7133,1.6395
227,74.0189,1.4810
228,74.3550,1.6254
229,74.7061,1.6989
230,75.0460,1.7637
231,75.3741,1.6784
232,75.7043,1.5506
233,76.0304,1.6151
234,76.3781,1.6526
235,76.7136,1.6626
236,77.0488,1.6542
237,77.4029,1.6410
238,77.7421,1.5418
239,78.0793,1.6484
240,78.3370,1.6842
241,78.6221,1.7547
242,78.9481,1.5829
243,79.2576,1.6249
244,79.5837,1.6160
245,79.9095,1.6699
246,80.2379,1.6834
247,80.5480,1.7139
248,80.8741,1.7131
249,81.1779,1.6870
250,81.5221,1.5955
251,81.8486,1.5627
252,82.1575,1.5756
253,82.4839,1.6322
254,82.8095,1.6565
255,83.1362,1.5990
256,83.4755,1.5389
257,83.8103,1.6197
258,84.1028,1.6632
259,84.3580,1.6156
260,84.6117,1.5691
261,84.8656,1.5802
262,85.1193,1.5321
263,85.4489,1.5878
264,85.7796,1.5634
265,86.1194,1.5817
266,86.4542,1.5976
267,86.8019,1.6091
268,87.1301,1.6678
269,87.4720,1.5567
270,87.8183,1.5807
271,88.1542,1.6475
272,88.4903,1.5578
273,88.8262,1.5445
274,89.1611,1.5536
275,89.5023,1.8110
276,89.8414,1.5502
277,90.1887,1.4142
278,90.4430,1.5140
279,90.6997,1.6789
280,90.9545,1.5593
281,91.2098,1.5183
282,91.5383,1.5327
283,91.8660,1.6606
284,92.1749,1.5251
285,92.5044,1.5948
286,92.8136,1.6438
287,93.1229,1.5837
288,93.3865,1.6867
289,93.6921,1.4025
290,94.0300,1.5176
291,94.3646,1.6404
292,94.7141,1.7165
293,95.0440,1.5848
294,95.3697,1.6429
295,95.6952,1.5774
296,96.0203,1.6579
297,96.3174,1.6622
298,96.6640,1.7052
299,96.9219,1.6207
300,97.2501,1.6496
301,97.5807,1.5481
302,97.8527,1.5350
303,98.1825,1.6467
304,98.5213,1.5017
305,98.8578,1.5868
306,99.1839,1.5162
307,99.4427,1.6609
308,99.7261,1.4921
309,100.0540,1.6868
310,100.4034,1.6573
311,100.7135,1.5710
312,101.0486,1.5592
313,101.3794,1.4442
314,101.7093,1.5485
315,102.0490,1.5882
316,102.3802,1.4620
317,102.6398,1.6130
318,102.8933,1.4488
319,103.2217,1.5815
320,103.5315,1.5270
321,103.8580,1.5265
322,104.2097,1.5119
323,104.5380,1.7411
324,104.8478,1.6014
325,105.1731,1.5012
326,105.4863,1.5680
327,105.8214,1.4649
328,106.1573,1.5558
329,106.5141,1.5511
330,106.8421,1.6437
331,107.1693,1.6059
332,107.5181,1.5856
333,107.8553,1.5757
334,108.2021,1.5216
335,108.5421,1.5595
336,108.8790,1.6571
337,109.1884,1.6180
338,109.5461,1.5975
339,109.8833,1.5260
340,110.1408,1.5203
341,110.3953,1.5757
342,110.6490,1.5585
343,110.9031,1.5623
344,111.2336,1.5712
345,111.5175,1.5087
346,111.8429,1.5281
347,112.1822,1.5424
348,112.4923,1.5511
349,112.8423,1.4329
350,113.1724,1.4805
351,113.4984,1.5973
352,113.8251,1.5685
353,114.1728,1.5624
354,114.4861,1.5568
355,114.8125,1.5025
356,115.1532,1.5028
357,115.4827,1.5739
358,115.8080,1.6510
359,116.1205,1.4883
360,116.4293,1.5278
361,116.7561,1.6122
362,117.0818,1.4891
363,117.4093,1.4740
364,117.7541,1.6164
365,118.0897,1.5176
366,118.4260,1.5937
367,118.7723,1.4875
368,119.0832,1.6193
369,119.4095,1.5648
370,119.7403,1.5940
371,120.0497,1.5200
372,120.3866,1.4644
373,120.7125,1.5132
374,121.0217,1.5369
375,121.3781,1.5850
376,121.6929,1.5602
377,122.0030,1.5012
378,122.2888,1.5140
379,122.5938,1.5866
380,122.9440,1.4707
381,123.2501,1.5064
382,123.5453,1.4672
383,123.8721,1.4682
384,124.1983,1.5330
385,124.5251,1.6032
386,124.8527,1.4870
387,125.1185,1.3847
388,125.3686,1.4292
389,125.6217,1.6043
390,126.0831,1.5359
391,126.4688,1.4442
392,126.8087,1.5665
393,127.1442,1.5609
394,127.4804,1.4384
395,127.8216,1.5579
396,128.1671,1.5746
397,128.5034,1.5546
398,128.8456,1.4395
399,129.1816,1.4206
400,129.5297,1.5838
401,129.8563,1.5107
402,130.1976,1.4658
403,130.5232,1.6006
404,130.8492,1.3794
405,131.1751,1.3915
406,131.5103,1.6294
407,131.8368,1.4946
408,132.1734,1.4563
409,132.4995,1.6401
410,132.8454,1.4277
411,133.1816,1.5245
412,133.5376,1.4054
413,133.8728,1.4814
414,134.1838,1.5390
415,134.5094,1.4932
416,134.8191,1.5069
417,135.1444,1.4915
418,135.4540,1.4606
419,135.7796,1.5762
420,136.0910,1.5629
421,136.4166,1.5106
422,136.7263,1.3990
423,137.0521,1.3972
424,137.3605,1.5329
425,137.6864,1.6606
426,138.0126,1.5475
427,138.3380,1.4869
428,138.6640,1.4756
429,138.9896,1.3411
430,139.2483,1.3824
431,139.5037,1.4752
432,139.7586,1.4695
433,140.0120,1.5042
434,140.2657,1.4807
435,140.5192,1.4186
436,140.7731,1.5854
437,141.0278,1.4687
438,141.2816,1.4772
439,141.5576,1.4832
440,141.8641,1.5080
441,142.2112,1.4411
442,142.5487,1.5296
443,142.8931,1.6064
444,143.1746,1.4491
445,143.5045,1.5477
446,143.8152,1.5218
447,144.1417,1.4816
